COUNTY REP DEM LIB GRN W-I1 W-I2 W-I3 W-I4 W-I5 W-I6 W-I7 W-I8 W-I9 W-I10 W-I11 W-I12 W-I13
COUNTY Trump Clinton Johnson Stein Valdivia Soltysik Kotlikoff Lee Maturen Moorehead Cubbler McMullin Steffes Fox Castle Hoefling Morrow
HOWARD 6637 1770 232 56 1 0 0 0 1 0 0 16 0 0 7 3 0
HUDSPETH 503 324 38 6 0 0 0 0 0 0 0 0 0 0 0 0 0
HUNT 23910 6396 862 162 0 0 2 0 3 0 1 184 0 1 28 2 3
HUTCHINSON 7042 854 210 23 0 0 0 0 0 0 0 24 0 0 2 0 0
IRION 660 90 9 1 0 0 0 0 0 1 0 4 0 0 1 0 0
JACK 2973 314 42 10 0 0 0 0 0 0 0 8 0 0 0 3 0
JACKSON 4266 904 78 27 0 0 0 0 0 0 0 21 0 0 6 0 0
JASPER 10609 2590 156 38 0 0 0 0 0 0 1 18 0 0 7 0 0
"JEFF DAVIS" 695 422 42 17 0 0 0 0 1 0 0 13 0 0 0 0 1
JEFFERSON 42862 42443 1714 420 0 0 2 0 5 3 1 143 1 0 22 2 0
"JIM HOGG" 430 1635 42 12 0 0 0 0 0 0 0 0 0 0 0 0 0
"JIM WELLS" 5420 6694 210 40 0 0 1 0 0 1 0 10 0 0 2 0 1
JOHNSON 44382 10988 1605 324 0 1 0 0 6 1 1 259 0 0 33 3 3
JONES 4819 936 162 21 0 0 1 0 0 0 0 13 0 0 6 0 2
KARNES 2965 1145 70 12 0 0 0 0 0 0 0 5 0 0 1 0 0
KAUFMAN 29587 10278 983 197 0 0 2 0 0 0 0 195 1 1 16 4 1
KENDALL 15700 3643 555 87 0 0 3 1 5 0 1 116 0 0 9 0 0
KENEDY 84 99 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KENT 360 59 14 0 0 0 0 0 0 0 0 1 0 0 0 0 0
KERR 17727 4681 657 116 0 0 1 0 1 0 4 93 0 1 14 2 0
KIMBLE 1697 206 37 5 0 0 0 0 0 0 0 7 0 0 0 0 0
KING 149 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KINNEY 936 458 25 6 0 0 0 0 0 0 0 0 0 0 5 0 0
KLEBERG 4367 4716 314 92 0 0 0 0 2 0 0 18 0 0 3 0 0
KNOX 1078 247 28 5 0 0 0 0 0 0 0 8 0 0 1 0 0
LAMAR 14561 3583 343 70 0 0 0 0 1 0 0 45 0 0 8 0 0
LAMB 3111 771 85 8 0 0 0 0 3 0 0 14 0 0 3 0 0
LAMPASAS 6385 1483 253 47 0 0 0 0 0 0 0 32 0 0 2 3 0
LASALLE 872 1129 44 10 0 0 0 0 0 0 0 4 0 0 0 0 0
LAVACA 7347 1170 112 12 0 0 0 0 1 0 0 9 0 0 5 4 1
LEE 4997 1372 126 28 0 0 0 0 0 0 0 8 0 0 4 0 0
LEON 6391 909 94 13 0 0 0 1 2 0 0 22 0 0 5 2 0
LIBERTY 18892 4862 364 85 0 0 0 0 0 0 1 41 0 0 14 8 0
LIMESTONE 5796 1778 128 27 0 0 0 0 1 0 0 8 0 0 1 0 0
LIPSCOMB 1159 135 25 3 0 0 0 0 0 0 1 7 0 0 2 0 0
"LIVE OAK" 3464 742 65 13 0 0 0 0 0 0 0 16 0 0 2 0 0
LLANO 8299 1825 205 65 0 0 0 0 0 0 1 6 0 0 45 0 1
LOVING 58 4 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0
LUBBOCK 65651 28023 3917 633 1 2 2 1 35 0 4 675 0 0 63 5 1
LYNN 1546 403 41 7 11 1 0 0 0 0 0 0 0 0 0 0 0
MADISON 3351 881 45 8 0 0 0 0 0 0 1 0 0 0 3 0 0
MARION 2983 1165 71 13 0 0 0 0 0 0 0 4 0 0 2 0 0
MARTIN 1455 266 31 5 0 0 0 0 0 0 0 0 0 0 5 0 0
MASON 1656 354 37 7 0 0 1 0 0 0 0 2 0 0 0 0 0
MATAGORDA 8366 3500 239 53 0 0 4 1 0 0 0 24 0 0 7 2 0
MAVERICK 2816 10397 266 109 0 0 0 0 0 0 0 0 0 0 0 0 0
MCCULLOCH 2552 482 51 9 2 0 0 0 0 0 0 7 0 0 0 0 0
MCLENNAN 48260 27063 2492 473 1 0 10 0 38 1 7 669 2 0 53 6 0
MCMULLEN 454 40 2 1 0 0 0 0 0 0 0 2 0 0 0 0 0
MEDINA 12085 4634 403 106 1 0 0 0 0 0 0 0 0 1 16 0 0
MENARD 682 154 25 1 0 0 0 0 0 0 0 2 0 0 0 0 0
MIDLAND 36973 10025 1667 203 3 1 2 2 8 0 2 277 1 1 43 4 0
MILAM 6364 2051 178 49 0 0 0 0 1 0 0 9 0 0 12 0 0
MILLS 1951 243 41 6 0 0 0 0 0 0 0 4 0 0 0 0 0
MITCHELL 1780 354 50 7 2 0 1 0 0 0 0 2 0 0 0 0 0
MONTAGUE 7526 885 170 23 0 0 0 0 0 0 0 0 0 0 0 0 0
MONTGOMERY 150314 45835 6142 1018 3 1 23 0 26 2 5 1067 0 0 151 42 3
MOORE 3977 1098 166 26 0 0 0 0 2 0 0 15 0 0 0 0 0
MORRIS 3446 1425 77 19 0 0 1 0 0 0 0 5 0 0 0 0 0
MOTLEY 566 40 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0
NACOGDOCHES 14771 6846 702 159 0 0 0 0 5 0 0 118 0 0 17 2 2
NAVARRO 11994 4002 343 58 0 0 2 0 0 0 0 29 0 0 3 1 1
NEWTON 4288 1156 66 13 1 0 0 0 0 0 0 8 1 0 1 0 0
NOLAN 3552 1029 142 22 73 0 0 0 3 0 0 30 0 0 3 1 2
NUECES 50766 49198 3324 847 0 4 2 0 21 0 0 205 0 0 38 0 0
OCHILTREE 2628 274 75 5 0 0 0 0 0 0 1 17 0 0 2 0 0
OLDHAM 850 78 14 3 0 0 0 0 0 0 0 2 0 0 1 0 0
ORANGE 25513 5735 550 115 0 0 0 0 1 0 0 68 0 0 18 0 0
"PALO PINTO" 8284 1708 210 48 0 0 0 0 0 0 0 16 0 0 1 1 2
PANOLA 8445 1835 109 24 0 0 0 0 1 0 0 0 0 0 0 2 0
PARKER 46473 8344 1439 215 1 0 0 0 1 1 7 264 0 0 46 25 1
PARMER 1915 485 55 4 0 0 0 0 0 0 0 5 0 0 1 1 0
PECOS 2468 1554 127 26 0 0 0 0 2 0 0 7 0 0 1 0 0
POLK 15176 4187 367 86 0 2 0 0 0 0 0 22 0 0 10 0 2
POTTER 19630 7657 1028 190 1 0 1 0 3 0 1 103 0 0 18 18 1
PRESIDIO 652 1458 64 29 0 0 0 0 0 0 0 5 0 0 0 0 0
RAINS 3968 628 80 15 0 0 0 0 0 0 0 10 0 0 0 0 0
RANDALL 43462 8367 1872 228 1 1 1 0 7 1 1 306 0 1 30 26 1
REAGAN 709 167 22 2 0 0 0 0 0 0 0 0 0 0 4 0 0
REAL 1382 262 28 6 0 0 0 0 0 0 0 3 0 0 0 0 0
"RED RIVER" 3926 1149 67 8 0 0 0 0 0 0 0 9 0 0 2 0 0
REEVES 1417 1659 98 10 0 0 0 0 0 0 0 0 0 0 0 0 0
REFUGIO 1830 1034 71 10 0 0 0 0 0 0 0 2 0 0 1 0 0
ROBERTS 524 20 6 0 0 0 0 0 1 0 0 2 0 0 1 0 0
ROBERTSON 4668 2203 125 17 0 0 1 0 1 0 0 17 0 0 3 0 0
ROCKWALL 28451 9655 1305 207 1 0 11 0 3 0 0 285 0 0 30 0 0
RUNNELS 3250 453 60 13 0 0 0 0 0 0 0 5 0 0 1 0 0
RUSK 14675 3935 333 51 0 0 0 0 0 0 0 0 0 0 0 0 0
SABINE 3998 614 27 9 0 0 0 0 0 0 0 1 0 0 2 0 0
"SAN AUGUSTINE" 2622 910 30 6 0 0 0 0 0 0 0 1 0 0 0 0 0
"SAN JACINTO" 8059 2038 170 52 0 0 1 0 0 0 0 16 0 0 6 0 1
"SAN PATRICIO" 13030 7871 573 113 0 0 0 0 2 0 2 56 0 0 4 4 1
"SAN SABA" 2025 293 32 4 0 0 0 0 1 0 0 2 0 0 0 0 0
SCHLEICHER 821 208 24 3 0 0 0 0 0 0 0 3 0 0 0 0 0
SCURRY 4410 733 103 22 0 0 0 0 0 0 0 19 0 1 1 0 0
SHACKELFORD 1378 103 21 0 0 0 0 0 0 0 0 2 0 0 0 0 0
SHELBY 7179 1758 123 21 0 0 0 0 0 0 0 3 0 0 2 0 0
SHERMAN 807 96 27 3 0 0 0 0 0 0 0 2 0 0 0 0 0
SMITH 58930 22300 2076 341 0 0 11 0 35 0 12 952 0 0 78 33 0
SOMERVELL 3206 541 107 23 0 0 0 0 0 0 0 17 0 0 3 0 0
STARR 2224 9289 159 68 0 0 0 0 0 0 0 0 0 0 0 0 0
STEPHENS 3034 348 65 7 0 0 0 0 0 0 0 5 0 0 2 0 0
STERLING 549 70 9 5 0 0 0 0 0 0 0 0 0 0 0 0 0
STONEWALL 555 135 10 1 0 0 0 0 0 0 0 0 0 0 0 0 0
SUTTON 1075 313 22 5 0 0 0 0 0 0 0 1 0 0 0 0 0
SWISHER 1671 462 51 6 1 0 0 0 0 1 3 6 1 0 1 0 1
TARRANT 345921 288392 23775 5413 4 3 68 2 106 5 20 4281 1 4 406 107 6
TAYLOR 33250 10085 1763 289 0 2 11 2 3 0 1 315 0 0 33 4 1
TERRELL 288 140 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TERRY 2459 753 112 21 0 0 0 0 0 0 0 10 0 0 0 0 0
THROCKMORTON 715 84 7 2 0 0 0 0 0 0 0 0 0 0 0 0 0
TITUS 6511 2597 191 44 5 5 13 12 6 3 5 3 4 7 5 5 3
"TOM GREEN" 27494 9173 1402 218 0 0 1 0 3 0 1 159 0 1 25 1 1
TRAVIS 127209 308260 21958 7462 6 8 88 3 131 11 18 3341 5 2 150 47 21
TRINITY 4737 1154 80 11 1 0 0 0 0 0 0 1 0 0 1 0 0
TYLER 6624 1248 103 22 0 0 0 0 0 0 0 13 0 0 6 0 0
UPSHUR 13209 2380 283 59 0 0 0 0 1 0 0 65 0 0 15 1 0
UPTON 1007 286 49 3 0 0 0 0 0 0 0 1 0 0 1 0 0
