X_1 PARTY X_2 DEM REP OTH IND LIB GRN CON REF SOC X_3 X_4 X_5
Cno COUNTY Precincts DEM_REG REP_REG Other Ind Libert Green Const Reform SocWk Male Female Registered
101 ROBERTSON 5 1240 476 55 27 4 1 0 0 0 893 906 1803
102 ROCKCASTLE 15 2073 10037 341 353 21 4 4 1 0 6204 6629 12834
103 ROWAN 18 9198 5823 641 636 70 16 3 1 2 7655 8703 16390
104 RUSSELL 16 2737 11007 358 379 33 3 0 1 1 6946 7572 14519
105 SCOTT 46 18948 21916 2167 1635 231 17 15 1 1 21639 23292 44931
106 SHELBY 34 14861 17448 1655 1432 164 19 13 3 2 16912 18678 35597
107 SIMPSON 13 7503 6055 884 430 68 7 8 0 2 6953 7999 14957
108 SPENCER 14 6005 9067 670 596 71 5 4 0 1 8081 8287 16419
109 TAYLOR 20 7254 10769 660 530 53 9 8 0 1 9010 10272 19284
110 TODD 13 5371 3110 415 156 38 4 2 0 1 4286 4809 9097
111 TRIGG 15 5600 6098 441 440 51 1 3 0 0 6086 6547 12634
112 TRIMBLE 12 4544 2556 359 151 28 2 0 1 1 3745 3897 7642
113 UNION 16 6845 3257 399 166 30 1 1 0 1 5190 5510 10700
114 WARREN 121 42020 39401 4383 3844 506 82 36 2 11 41924 48351 90285
115 WASHINGTON 14 4803 3937 292 191 24 11 6 1 0 4423 4840 9265
116 WAYNE 19 4420 10149 441 359 28 5 1 1 3 7398 8001 15407
117 WEBSTER 14 5899 3303 380 177 26 5 2 0 0 4675 5117 9792
118 WHITLEY 36 5844 20863 942 737 81 11 5 0 1 13680 14801 28484
119 WOLFE 8 4528 949 137 56 9 4 0 0 0 2749 2920 5683
120 WOODFORD 19 11062 9222 923 920 110 20 3 0 2 10349 11900 22262
